class,precision,recall,f1,support
calling,0.52,0.7222222222222222,0.6046511627906976,126
clapping,0.7578125,0.7698412698412699,0.7637795275590551,126
cycling,0.9918032786885246,0.9603174603174603,0.9758064516129032,126
dancing,0.8130081300813008,0.7936507936507936,0.8032128514056225,126
drinking,0.8809523809523809,0.8809523809523809,0.8809523809523809,126
eating,0.8923076923076924,0.9206349206349206,0.90625,126
fighting,0.7753623188405797,0.8492063492063492,0.8106060606060606,126
hugging,0.8849557522123894,0.7936507936507936,0.8368200836820083,126
laughing,0.865546218487395,0.8174603174603174,0.8408163265306122,126
listening_to_music,0.7692307692307693,0.7142857142857143,0.7407407407407407,126
running,0.7916666666666666,0.9047619047619048,0.8444444444444444,126
sitting,0.7256637168141593,0.6507936507936508,0.6861924686192469,126
sleeping,0.95,0.753968253968254,0.8407079646017699,126
texting,0.7716535433070866,0.7777777777777778,0.7747035573122529,126
using_laptop,0.7913043478260869,0.7222222222222222,0.7551867219917012,126

macro avg,0.8120844876943354,0.8021164021164021,0.8043247161899665,1890
accuracy,,,0.8021164021164021,1890
