class,precision,recall,f1,support
calling,0.8518518518518519,0.7301587301587301,0.7863247863247863,126
clapping,0.9345794392523364,0.7936507936507936,0.8583690987124464,126
cycling,1.0,0.9841269841269841,0.992,126
dancing,0.979381443298969,0.753968253968254,0.852017937219731,126
drinking,0.9596774193548387,0.9444444444444444,0.952,126
eating,0.9037037037037037,0.9682539682539683,0.9348659003831418,126
fighting,0.7283950617283951,0.9365079365079365,0.8194444444444444,126
hugging,0.754601226993865,0.9761904761904762,0.8512110726643599,126
laughing,0.9210526315789473,0.8333333333333334,0.875,126
listening_to_music,0.8943089430894309,0.873015873015873,0.8835341365461847,126
running,0.9727272727272728,0.8492063492063492,0.9067796610169492,126
sitting,0.8131868131868132,0.5873015873015873,0.6820276497695853,126
sleeping,0.926829268292683,0.9047619047619048,0.9156626506024096,126
texting,0.7516778523489933,0.8888888888888888,0.8145454545454546,126
using_laptop,0.7,0.8888888888888888,0.7832167832167832,126

macro avg,0.8727981951605401,0.8608465608465609,0.8604666383630852,1890
accuracy,,,0.8608465608465609,1890
